city,date,rate,state
Agartala,1/2/2019,64.05,Tripura
Aizwal,1/2/2019,60.49,Mizoram
Allahabad,1/2/2019,62.24,Uttar Pradesh
Bengaluru,1/2/2019,63.05,Karnataka
Chennai,1/2/2019,66.19,Tamil Nadu
Coimbatore,1/2/2019,66.55,Tamil Nadu
Delhi,1/2/2019,62.75,Delhi
Dimapur,1/2/2019,60.37,Nagaland
Hyderabad,1/2/2019,68.16,Telangana
Kolkata,1/2/2019,64.47,West Bengal
Madurai,1/2/2019,66.81,Tamil Nadu
Meerut,1/2/2019,62.01,Uttar Pradesh
Mumbai,1/2/2019,65.61,Maharashtra
Nizamabad,1/2/2019,69.23,Telangana
Pondicherry,1/2/2019,65.07,Pondicherry
Shillong,1/2/2019,60.28,Meghalaya
Varanasi,1/2/2019,62.72,Uttar Pradesh
Bengaluru,1/3/2019,63.05,Karnataka
Chennai,1/3/2019,66.19,Tamil Nadu
Coimbatore,1/3/2019,66.55,Tamil Nadu
Delhi,1/3/2019,62.75,Delhi
Hyderabad,1/3/2019,68.16,Telangana
Kolkata,1/3/2019,64.47,West Bengal
Mumbai,1/3/2019,65.61,Maharashtra
Agartala,1/4/2019,63.83,Tripura
Aizwal,1/4/2019,60.28,Mizoram
Allahabad,1/4/2019,62.05,Uttar Pradesh
Bengaluru,1/4/2019,62.83,Karnataka
Chennai,1/4/2019,65.95,Tamil Nadu
Coimbatore,1/4/2019,66.32,Tamil Nadu
Delhi,1/4/2019,62.53,Delhi
Dimapur,1/4/2019,60.16,Nagaland
Hyderabad,1/4/2019,67.92,Telangana
Kolkata,1/4/2019,64.25,West Bengal
Madurai,1/4/2019,66.58,Tamil Nadu
Meerut,1/4/2019,61.82,Uttar Pradesh
Mumbai,1/4/2019,65.37,Maharashtra
Nizamabad,1/4/2019,68.99,Telangana
Pondicherry,1/4/2019,64.84,Pondicherry
Shillong,1/4/2019,60.07,Meghalaya
Varanasi,1/4/2019,62.53,Uttar Pradesh
Agartala,1/7/2019,63.63,Tripura
Aizwal,1/7/2019,60.09,Mizoram
Allahabad,1/7/2019,61.88,Uttar Pradesh
Bengaluru,1/7/2019,64.31,Karnataka
Chennai,1/7/2019,65.74,Tamil Nadu
Coimbatore,1/7/2019,66.1,Tamil Nadu
Delhi,1/7/2019,62.33,Delhi
Dimapur,1/7/2019,59.97,Nagaland
Hyderabad,1/7/2019,67.7,Telangana
Kolkata,1/7/2019,64.05,West Bengal
Madurai,1/7/2019,66.36,Tamil Nadu
Meerut,1/7/2019,61.65,Uttar Pradesh
Mumbai,1/7/2019,65.16,Maharashtra
Nizamabad,1/7/2019,68.77,Telangana
Pondicherry,1/7/2019,64.64,Pondicherry
Shillong,1/7/2019,59.87,Meghalaya
Varanasi,1/7/2019,62.36,Uttar Pradesh
Agartala,1/8/2019,63.64,Tripura
Bengaluru,1/8/2019,64.31,Karnataka
Chennai,1/8/2019,65.74,Tamil Nadu
Coimbatore,1/8/2019,66.1,Tamil Nadu
Delhi,1/8/2019,62.33,Delhi
Hyderabad,1/8/2019,67.7,Telangana
Kolkata,1/8/2019,64.05,West Bengal
Mumbai,1/8/2019,65.16,Maharashtra
Agartala,1/9/2019,63.63,Tripura
Bengaluru,1/9/2019,64.31,Karnataka
Chennai,1/9/2019,65.74,Tamil Nadu
Coimbatore,1/9/2019,66.1,Tamil Nadu
Delhi,1/9/2019,62.33,Delhi
Hyderabad,1/9/2019,67.7,Telangana
Kolkata,1/9/2019,64.05,West Bengal
Mumbai,1/9/2019,65.16,Maharashtra
Agartala,1/10/2019,63.92,Tripura
Aizwal,1/10/2019,60.37,Mizoram
Allahabad,1/10/2019,62.12,Uttar Pradesh
Bengaluru,1/10/2019,64.61,Karnataka
Chennai,1/10/2019,66.05,Tamil Nadu
Coimbatore,1/10/2019,66.41,Tamil Nadu
Delhi,1/10/2019,62.62,Delhi
Dimapur,1/10/2019,60.24,Nagaland
Hyderabad,1/10/2019,68.01,Telangana
Kolkata,1/10/2019,64.34,West Bengal
